Content;Label
'A question for you - can you give me the name of an organization or a philosophy or a political movement, etc., which has never had anything evil done in its name?  Youre missing a central teaching of Christianity - man is inherently sinful.  We are saved through faith by grace.  Knowing that, believing that, does not make us without sin.  Furthermore, not all who consider themselves "christians" are (even those who manage to head their own "churches").  "Not everyone who says to me, Lord, Lord, will enter the kingdom of heaven, but only he who does the will of my Father who is in heaven." - Matt. 7:21.   Again, what historical documents do you trust?  Do you think Hannibal crossed the Alps?  How do you know?  How do you know for sure?  What historical documents have stood the scrutiny and the attempts to dis- credit it as well as the Bible has?   Well, its really a shame you feel this way.  No one can browbeat you into believing, and those who try will probably only succeed in driving you further away.  You need to ask yourself some difficult questions: 1) is there an afterlife, and if so, does man require salvation to attain it.  If the answer is yes, the next question is 2) how does man attain this salvation - can he do it on his own as the eastern religions and certain modern offshoots like the "new age movement" teach or does he require Gods help?  3) If the latter, in what form does - indeed, in what form can such help come?  Needless to say, this discussion could take a lifetime, and for some people it did comprise their lifes writings, so I am hardly in a position to offer the answers here - merely pointers to what to ask.  Few, of us manage to have an unshaken faith our entire lives (certainly not me). The spritual life is a difficult journey (if youve never read "A Pilgrims Progress," I highly recommend this greatest allegory of the english language).   Now I see by your close that one possible source of trouble for you may be a conflict between your politcal beliefs and your religious upbringing.  You wrote that "I (in my own faith) accept and live my life by many if not most of the teachings of christ".  Well, Christ referred to God as "My Father", not "My Mother", and while the "maleness" of God is not the same as the maleness of those of us humans who possess a Y chromosome, it does not honor God to refer to Him as female purely to be trendy, non-discriminatory, or politically correct.  This in no way disparages women (nor is it my intent to do so by my use of the male pronoun to refer to both men and women -  english just does not have a decent neuter set of pronouns).  After all, God chose a woman as his only human partner in bringing Christ into the human population.  Well, Im not about to launch into a detailed discussion of the role of women in Christianity at 1am with only 6 hours of sleep in the last 63, and for that reason I also apologize for any shortcomings in this article.  I just happened across yours and felt moved to reply.  I hope I may have given you, and anyone else who finds himself in a similar frame of mind, something to contemplate.';3
'Hi:  I am digitizing a NTSC signal and displaying on a PC video monitor. It is known that the display response of tubes is non-linear and is sometimes said to follow Gamma-Law. I am not certain if these non-linearities are "Gamma-corrected" before encoding NTSC signals or if the TV display is supposed to correct this.   Also, if  256 grey levels, for example, are coded in a C program do these intensity levels appear with linear brightness on a PC monitor? In other words does PC monitor display circuitry correct for "gamma errrors"?   Your response is much appreciated.   Amjad.';1
'Define perfect then.       Take your foot out of your mouth, I wondered about that already when I was a Catholic Christian. The fact that the contradiction is unresolvable is one of the reasons why I am an atheist.   Believe me, I believed similar sentences for a long time. But that shows the power of religion and not anything about its claims.       It follows from a definition of evil as ordinarily used. Letting evil happen or allowing evil to take place, in this place even causing evil, is another evil.       The omniscient attribute of god will know what the creatures will do even before the omnipotent has created them. There is no choice left. All is known, the course of events is fixed.   Not even for the omniscient itself, to extend an argument by James Tims.       And when I am not omnipotent, how can I have free will? You have said something about choices and the scenario gives them. Therefore we have what you define as free will.   Imagine the following. I can do good to other beings, but I cannot harm them. Easily implemented by making everyone appreciate being the object of good deeds, but dont make them long for them, so they can not feel the absence of good as evil.   But whose case am I arguing? It is conceivable, so the omnipotent can do it. Or it would not be omnipotent. If you want logically consistent as well, you have to give up the pet idea of an omnipotent first.   (Deletion)   That the bible describes an omniscient and omnipotent god destroys the credibility of the bible, nothing less.';0
'As I was created in the image of Gaea, therefore I must be the pinnacle of creation, She which Creates, She which Births, She which Continues.  Or, to cut all the religious crap, Im a woman, thanks. And its sexism that started me on the road to atheism.  --  Maddi Hausmann                       madhaus@netcom.com Centigram Communications Corp        San Jose California  408/428-3553';0
'Why didnt you create 8 grey-level images, and display them for 1,2,4,8,16,32,64,128... time slices?  This requires the same total exposure time, and the same precision in timing, but drastically reduces the image-preparation time, no?';1
'The most ridiculous example of VR-exploitation Ive seen so far is the "Virtual Reality Clothing Company" which recently opened up in Vancouver. As far as I can tell its just another "chic" clothes spot. Although it would be interesting if they were selling "virtual clothing"....  E-mail me if you want me to dig up their phone # and you can probably get some promotional lit.';1
'';2
'YOU BLASHEPHEMERS!!! YOU WILL ALL GO TO HELL FOR NOT BELIEVING IN GOD!!!!  BE PREPARED FOR YOUR ETERNAL DAMNATION!!!';0
'I am curious if anyone in net-land has spent any time at any of the LAbri houses throughout the world and what the experience was like, how it affected you, etc.  Especially interesting would be experiences at the original LAbri in Switzerland and personal interactions with Francis and/or Edith Schaeffer.';3
'Not any more so than        holding people against their will is wrong       if you hold people against their will we will punish you       our punishment will be to hold you against your will  Is there any punishment which isnt something which, if done by a private person to another private person for no apparent reason, would lead to punishment?  (Fines, I suppose.)';0
': I may be wrong, but wasnt Jeff Fenholt part of Black Sabbath?  Hes a : MAJOR brother in Christ now.  He totally changed his life around, and : he and his wife go on tours singing, witnessing, and spreading the : gospel for Christ.  I may be wrong about Black Sabbath, but I know he : was in a similar band if it wasnt that particular group...     Yes, but Jeff also speaks out against listening to bands like Black Sabbath. He says theyre into all sorts of satanic stuff. I dont know.';3
'Could you expand on your definition of knowing? It seems a bit monolithic here, but Im not sure that you intend that. Dont we need, for example, to distinguish between "knowing" 2 plus 2 equals 4 (or 2 apples plus 2 apples equals 4 apples), the French "knowing" that Jerry Lewis is an auteur, and what it means to say we "know" what Socrates said?';0
': >People who reject God dont want to be wth Him in heaven.  We spend our  : >lives choosing to be either for Him or against Him.  God does not force  : >Himself on us.  : I must say that I am shocked. My impression has been that Jayne Kulikaskas : usually writes this much less offensive and ludicrous than this. I am not : saying that the offensiveness is intentional, but it is clear and it is : something for Christians to consider.  Jayne stands in pretty good company.  C.S. Lewis wrote a whole book promoting the idea contained in her first sentence quoted above.  It is called "The Final Divorce".  Excellent book on the subject of Heaven and Hell, highly recommended.  Its an allegory of souls who are invited, indeed beseeched to enter Heaven, but reject the offer because being with God in Heaven means giving up their false pride.';3
'Just posting to John Cormack. I wanted to tell you that there is a "slight" difference between  Speedstar 24 and Speedstar 24X';1
'Acorn Replay running on a 25MHz ARM 3 processor (the ARM 3 is about 20% slower than the ARM 6) does this in software (off a standard CD-ROM). 16 bit colour at about the same resolution (so what if the computer only has 8 bit colour support, real-time dithering too...). The 3D0/O is supposed to have a couple of DSPs - the ARM being used for housekeeping.   A 25MHz ARM 6xx should clock around 20 ARM MIPS, say 18 flat out. Depends really on the surrounding system and whether you are talking ARM6x or ARM6xx (the latter has a cache, and so is essential to run at this kind of speed with slower memory).  Ill stop saying things there cos Ill hopefully be working for ARM after graduation...  Mike  PS Dont pay heed to what reps from Philips say; if the 3D0/O doesnt beat the    pants off 3DI then Ill eat this postscript.';1
'Another source:  Theres a poly blitter for mode y (mode x in 320x200) at sunee.uwaterloo.ca.  Also there is REND386, an even faster 3D renderer with VR extensions.   --------------------------------------------------------------------------';1
'I just about closed this once before.  Im now doing so for real, after tonights posting.';3
'Coming from a long line of "hot tempered" people, I know temper when I see it.  One of the tell tale signs/fruits that give non-christians away - is when their net replies are acrid, angry and sarcastic.    We in the net village do have a laugh or two when professed, born again christians verbally attack people who might otherwise have been won to christianity and had originally joined the discussions because they were "spiritually hungry."  Instead of answering questions with sweetness and sincerity, these chrisitan net-warriors, "flame" the queries.   You dont need any enemies.  You already do yourselves the greatest harm.';3
'The term arrhythmia is usually used to encompass a wide range of abnormal heart rhythms (cardiac dysrhythmias).  Some of them are very serious while others are completely benign.  Having "a few irregular beats" on an EKG could be serious depending on what those beats were and when they occurred, or could be of no significance.  Low blood potassium levels probably predispose people with underlying heart disease to develop arrhythmias.  Very low potassium levels are clearly dangerous, but it is not clear how much of a problem low-end-of-normal levels are:  a lot of cardiologists seem to treat anyone with even a mildly low-normal potassium level.';2
'Carl, it is not "placebo effect" if as hypothesised the  sensory response to MSGs effect on flavor is responsible for the MSG reaction.';2
'I am not sure if this is the proper group to post this to but here goes anyway.   About five years ago my mother was diagnosed with having cancer in the lymph nodes  under one of her arms. After the doctors removed the cancerous area she had full movement  of her arm with only slight aching under her arm when she moved it. Over the course of  the next two years the aching got more severe and her complaining to the doctors produced  the explanation that it was scar tissue causing the pain. At this time her doctor   suggested that some physiotherapy should be employed to break up the scar tissue.   While attending one of her therapy sessions, while her arm was being   manipulated, some damage occured (nerve?) which caused the level of pain to permanently  increase severly (controlled by Tylenol 3s) and some loss of use of the arm (  palsied wrist and almost no outward lateral movement). With great persistence on her part  the doctors looked further into the issue and discovered that not all of the cancer had  been removed and another tumor had grown under the arm. This was removed also but the  pain in the arm has not decreased. The doctors are not sure exactly why the pain is   persisting but feel some sort of nerve damage has occured and they have employed Tylenol 3  and soon Morphine to relieve the pain. She has tried acupuncture by this only provides  minor reductions in pain and is only short term.     My questions are:        Has anyone has heard of similar cases and what, if anything, was done to reduce the      levels of pain?       Are their methods to block nerves so that the pain can be reduced?       Are their methods to restore nerves so that loss of arm function can be restored?     Any general suggestions on pain reduction would be greatly appreciated.         Please respond by email because I do not always get chance to read this group.    If anyone knows of some literature that may be useful to this case or another newsgroup   that I should be posting this to it would also be appreciated.';2
'Exactly.   C. S. Lewis has taken a couple of pretty severe hits in this group lately. First somebody was accusing him of being self-righteous and unconvincing. Now we are told that we Christians should be embarrassed by him. (As well as by Josh McDowell, about whom I have no comment, having never read his work.)  Anyone who thinks that C. S. Lewis was self-righteous ought to read his introduction to The Problem of Pain, which is his theodicy. In it, he explains that he wanted to publish the book anonymously. Why? Although he believed in the argument he was presenting, he did not want to seem to presume to tell others how brave they should be in the face of their own suffering. He did not want people to think that he was presenting himself as some kind of model of fortitude, or that he was anything other than what he considered himself to be -- "a great coward."   OFM has adequately handled the question of whether we ought to be embarrassed by Lewis liar/lunatic/lord argument (which, by the way, is part of a *much* bigger discourse.) I would just like to add that, far from being embarrassed by Lewis, I am in a state of continual amazement at the soundness and clarity of the arguments he presents.   - Phil -';3
'I suspect you mean laparoscopic instead of orthoscopic.      By far the (still) best method to diagnose a hernia is old fashioned physical examination. If you have an obvious hernia sac coming down  into your scrotum, or a bulge in your groin that is brought about by increasing intra-abdominal pressure.... Sometimes is not that obvious. The hernia is small and you can only  detect it by putting your finger into the inguinal canal.  Whether you have a recurrent hernia, or this is related to the previous operation, I cant tell you. The person that examined you is in  the best position to make that determination.  Are there non-invasive ways of diagnosing a hernia? Every now and then  folks write about CT scans and ultrasounds for this. But these are far too expensive, and unlikely to be better than a trained examining finger.   ====================================';2
'I have a few minor problems with the article posted as proof of  Christs resurrection.    First the scriptural quotations:  This sort of reasoning is such that if you beleive you are justified, if not then your beleif is in vain, so you might as well beleive.  Most of these quotations are of people who do beleive.  People who would try to justify their own positions.  Second the logical proof:    The period of time that has elapsed from the event growing larger does not increase the odds that a hoax would be discovered.  In fact the longer a hoax is perpetuated the stronger it becomes.  Finally:  There is no proof of the resurrection of Christ, except in our spirits communion with his, and the Fathers.  It is a matter of FAITH, belief without logical proof.  Incedently one of the largest stumbling blocks for rational western man, myself included.';3
'Why do you think Steere is doing this?  Isnt he acting in good faith? After all, as the "discoverer" of Lyme for all intents and purposes, the more famous Lyme gets, the more famous Steere gets.  I dont see the ulterior motive here.  It is easy for me to see it the those physicians who call everything lyme and treat everything. There is a lot of money involved.   Well, it is tragic what has happened to you, but it doesnt necessarily make you the most objective source of information about it.  If your whole life is focussed around this, you may be too emotionally involved to be advising other people who may or may not have Lyme.  Certainly advocacy of more research on Lyme would not be out of order, though, and people like you can be very effective there.      --  ---------------------------------------------------------------------------- Gordon Banks  N3JXP      | "Skepticism is the chastity of the intellect, and geb@cadre.dsl.pitt.edu   |  it is shameful to surrender it too soon."';2
'I simply wish to thank Dave Mielke (dave@bnr.ca)  for sharing the tract concerning Gods love.  It was most welcome to me and a great source of comfort.';3
'Thats right, and this is pretty impossible, right?  It would be ideal if we could believe for a while, just to try out religion, and only then determine which course of thought suits us best.  But again, this is not possible.  Not that religion warrants belief, but the belief carries with it some psychological benefits.  There are also some psychological burdens, too.   Well, if there were some psychological or other benefits gained from racism, they could only be fully understood or judged by persons actually "believing" in racism.  Of course, the parallel happens to be a poor one, but you originated it.';0
'Actually, the story goes that Lucifer refused to bow before MAN as  God commanded him to.  Lucifer was devoted to God.  Oh yeah, there is nothing in Genesis that says the snake was anything more than a snake (well, a talking one...had legs at the time, too).  I dont think pointing out contradictions in STORIES is the best way to show the error in theology:  if they think a supernatural entity kicked the first humans out of paradise because they bit into a fruit that gave them special powers...well, they might not respond well to reason and logic.  :^)';0
'My argument is mainly a proposal of what I think is a plausible argument against extra-marital sex -- one which I personally believe has some truth.  My main purpose for posting it here is to show that a _plausible_ argument can be made against extra-marital sex.  At this stage I am not saying that this particular viewpoint is proven or anything like that, just that it is plausible.  To try to convince you all of this particular point of view, I would probably have to do a lot of work researching what has been done in this field, etc., in order to gather further evidence, which I simply do not have time to do now.    Also note that I said that I think extra-marital sex is "a prime cause" (in my opinion) of the generally greater levels of psychological problems, especially depression, in Western societies.  I am not saying it is "the prime cause" or "the only cause", just "a prime cause" -- i.e. one of the significant contributions to this trend.  I think when you say you think my view is simplistic, you have forgotten this -- I admit that there are probably other factors, but I do think that extra-marital sex (and, IMO, subsequent destabilization of the family) is a significant factor in the rise in psychological problems like depression in Western society this century.';0
'I have seen several ray-traced scenes (from MTV or was it  RayShade??) with stroked fonts appearing as objects in the image. The fonts/chars had color, depth and even textures associated with them.  Now I was wondering, is it possible to do the same in POV??   Thanks,';1
'Are Moody Monthly and Moody the same magazine (name change in recent years)?  If not: Could someone post the address to Moody Monthly?  :)avid';3
'Gregg, so would you consider that Rushdie would now be left alone, and he could have a normal life? In other words, does Islam support the notion of forgiving?  Cheers, Kent';0
'Hello, I am looking for commercial software packages for professional fashion designers.  Any recommendation and pointers are greatly appreciated. Please e-mail me, if you may.  Thanks a million.  -- Ge';1
'Hi! Everyone,  Since some people quickly solved the problem of determining a sphere from 4 points, I suddenly recalled a problem which is how to find the ellipse from its offset. For example, given 5 points on the offset, can you find the original ellipse analytically?  I spent two months solving this problem by using analytical method last year, but I failed. Under the pressure, I had to use other method - nonlinear programming technique to deal with this problem approximately.  Any ideas will be greatly appreciated. Please post here, let the others share our interests.';1
': > : >: From a business point of view, it might make sense.  It depends on : >: the personality of the practitioner.  If he can charm the patients : >: into coming, homeopathy can be very profitable.  It wont be covered : >: by insurance, however.  Just keep that in mind.  Myself, Id have  : >^^^^^^^^^^^^^^^^^^^^^^^ : > : >In many European countries Homepathy is accepted as a method of curing : >(or at least alleiating) many conditions to which modern medicine has  : >no answer. In most of these countries insurance pays for the  : >treatments. : >  : Accepted by whom?  Not by scientists.  There are people : in every country who waste time and money on quackery. : In Britain and Scandanavia, where I have worked, it was not paid for. : What are "most of these countries?"  I dont believe you.  In Holland insurences pay for Homeopathic treatment. In Germany they do so as well. I Austria they do if you have a condition which can not be  helped by "normal" medicine (happened to me). Switzerland seems to be  the same as Austria (I have direct experience in the Swiss case).  At the Univeristy of Vienna (I believe Innsbruck as well) homeopathy can be taken in Med. school.  I found that in combination with Acupuncture it changed my life from living hell to a condition which enables me to lead a relatively  normal life. I found that modern medicine was powerless to cure me of a *severe* case of Neurodermitis (Note: I mean cure, not  surpress the symptoms, which is what modern medicine attempts to  do in the case of Neurodermitis).   Im not saying that Homeopathy is scientific, but that it can offer  help in areas in which modern medicine is absolutely helpless.  From reading your aritcle it seems that your have some deeply rooted beliefs about this issue (this is not intended to be offensive or  sarcastic - it just sounded like that to me) which makes me doubt  if you can read this with an open mind. If you do/can, please excuse my last comment.';2
'I agree fully with the above statement and is *precisely* what I meant by my previous statements about Islam not being anarchist and the law not being _enforcible_ despite the _law_ being applicable.      I disagree with this conclusion about the _applicability_ of the  Islamic law to all muslims, wherever they may be. The above conclusion  does not strictly follow from the foregoing, but only the conclusion  that the fatwa cannot be *enforced* according to Islamic law. However,  I do agree that the punishment cannot be applied to Rushdie even *were* it well founded.    Certainly putting a price on the head of Rushdie in Britain is a criminal  act according to Islamic law.     Yes.';0
'I have also heard it called an expression of mercy, because Heaven would be far more agonizing for those who had rejected God.';3
'[Several people were involved in trying to figure out who first used the phrase "God-shaped hole".  --clh]  "There is a God shaped vacuum in all of us" (or something to that effect) is generally attributed to Blaise Pascal. What I want to know is how can you have a God shaped vacuum inside of you if God is in fact infinite (or omnipresent)?  =========================================================================';3
'Please note that there are some radiosity packages in my Resource Listing (under the Subject 3: FTP list)  Greetings, Nick. -- Nick (Nikolaos) Fotis         National Technical Univ. of Athens, Greece HOME: 16 Esperidon St.,       InterNet : nfotis@theseas.ntua.gr       Halandri, GR - 152 32   UUCP:    mcsun!ariadne!theseas!nfotis       Athens, GREECE          FAX: (+30 1) 77 84 578  USENET Editor of comp.graphics Resource Listing and soc.culture.greece FAQ NTUA/UA ACM Student Chapter Chair - were organizing a small conference         in Comp. Graphics, call if youre interested to participate.';1
'The subject-line says it:  every time I run a fever, I get an amazing rosy rash over my torso and arms.  Fortunately, it doesnt itch.  The rash  always comes on the day after the fever breaks and no matter what the illness was:  cold, flu, whatever. It started happening about four years ago after I moved to my current town, although I dont know if that has anything to do with anything.  Severity and persistance of the rash seems to vary with the fever: a severe or long-lasting fever brings a long-lasting rash.  A mild fever seems to bring rashes that go away faster.    Anybody know what might be causing this?  Its no more than an  embarassment, but Id be curious to know whats going on.  Am I carrying some kind of fever-resistant bug that goes wild when fever knocks out its competition?';2
'I certainly do use it whenever I have to do TIFF, and it usually works very well.  Thats not my point.  Im >philosophically< opposed to it because of its complexity.  This complexity has led to some programs poor TIFF writers making some very bizarre files, other programs inability to load TIFF images (though theyll save them, of course), and a general inability to interchange images between different environments despite the fact they all think they understand TIFF.  As the saying goes, "Its not me Im worried about- its all the abuse of TIFF over the years, and I chalk it all up to the immense (and unnecessary) complexity of the format.  In the words of the TIFF 5.0 spec, Appendix G, page G-1 (capitalized emphasis mine):  "The only problem with this sort of success is that TIFF was designed to be powerful and flexible, at the expense of simplicity.  It takes a fair amount of effort to handle all the options currently defined in this specification (PROBABLY NO APPLICATION DOES A COMPLETE JOB), and that is currently the only way you can be >sure< that you will be able to import any TIFF image, since there are so many image-generating applications out there now."   If a program (or worse all applications) cant read >every< TIFF image, that means there are some it wont- some that I might have to deal with.  Why would I want my images to be trapped in that format?  I dont and neither should anyone who agrees with my reasoning- not that anyone does, of course! :-)';1
'Good grief again.  Why the anger?  I must have really touched a raw nerve.  Lets see:  I had symptoms that resisted all other treatments.  Sporanox totally alleviated them within one week.  Hmmm, I must be psychotic.  Yesss! Thats it - my illness was all in my mind.  Thanks Steve for your correct diagnosis - you must have a lot of experience being out there in trenches, treating hundreds of patients a week.  Thank you.  Im forever in your debt.  Jon  (oops, gotta run, the men in white coats are ready to take me away, haha, to the happy home, where I can go twiddle my thumbs, basket weave, and moan about my sinuses.)  --   Charter Member --->>>  INFJ Club.';2
'If all of those are "is"s of identity, both syllogisms are valid. If, however, B is a predicate, then the second syllogism is invalid. (The first syllogism, as you have pointed out, is valid--whether B is a predicate or designates an individual.)';0
'Dont be so sure.  Look what happened to Japanese citizens in the US during World War II.  If youre prepared to say "Lets round these people up and stick them in a concentration camp without trial", its only a short step to gassing them without trial.  After all, it seems that the Nazis originally only intended to imprison the Jews; the Final Solution was dreamt up partly because they couldnt afford to run the camps because of the devastation caused by Goerings Total War.  Those who werent gassed generally died of malnutrition or disease.';0
